#name;МГУ им. Н.П. Огарёва;Федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный исследовательский Мордовский государственный университет им. Н.П. Огарёва»;;;
0;*;право;P3;35 36 48 49 37 23 24 38 53 60 26;O
-1;*;русский язык;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64;R
0;*;астрономия;P3;14 15 31 16 12 17 18;F
0;*;инженерные науки;P3;14 15 31 16 12 17 18;F
0;*;инженерное дело;P3;14 15 31 16 12 17 18;F
0;*;нанотехнологии;P3;14 15 31 16 12 17 18;F
0;*;физика;P3;14 15 31 16 12 17 18;F
0;*;техника и технологии;P3;14 15 31 16 12 17 18;F
0;*;естественные науки;P3;20 21 39 40 41 42;C
0;*;медицина;P3;20 21 39 40 41 42;C
0;*;химия;P3;20 21 39 40 41 42;C
-1;*;биология;P3;39 40 41 42;B
-1;*;естественные науки;P3;39 40 41 42;B
-1;*;геномное редактирование;P3;39 40 41 42;B
-1;*;инженерные биологические системы;P3;39 40 41 42;B
-1;*;инженерные биологические системы: агробиотехнологии;P3;39 40 41 42;B
-1;*;информатика;P3;56 57 7 8 28 58 30 22 19 63 64;I
-1;*;робототехника;P3;56 57 7 8 28 58 30 22 19 63 64;I
-1;*;механика и математическое моделирование;P3;56 57 7 8 28 58 30 22 19 63 64;I
-1;*;компьютерное моделирование и графика;P3;56 57 7 8 28 58 30 22 19 63 64;I
-1;*;аэрокосмические системы;P3;56 57 7 8 28 58 30 22 19 63 64;I
-1;*;беспилотные авиационные системы;P3;56 57 7 8 28 58 30 22 19 63 64;I
-1;*;водные робототехнические системы;P3;56 57 7 8 28 58 30 22 19 63 64;I
-1;*;инженерные биологические системы;P3;56 57 7 8 28 58 30 22 19 63 64;I
-1;*;информационная безопасность;P3;56 57 7 8 28 58 30 22 19 63 64;I
-1;*;интеллектуальные робототехнические системы;P3;56 57 7 8 28 58 30 22 19 63 64;I
-1;*;технологии беспроводной связи;P3;56 57 7 8 28 58 30 22 19 63 64;I
-1;*;умный город;P3;56 57 7 8 28 58 30 22 19 63 64;I
-1;*;программная инженерия финансовых технологий;P3;56 57 7 8 28 58 30 22 19 63 64;I
-1;*;история;P3;35 36 48 49 37 23 13;H
-1;*;история мировых цивилизаций;P3;35 36 48 49 37 23 13;H
-1;*;основы православной культуры;P3;35 36 48 49 37 23 13;H
-1;*;история российской государственности;P3;35 36 48 49 37 23 13;H
-1;*;международные отношения и глобалистика;P3;35 36 48 49 37 23 13;H
-1;*;дизайн;P3;26;K
-1;*;журналистика;P3;26;K
-1;*;литература;P3;26;K
-1;*;музыкальная педагогика и исполнительство;P3;26;K
-1;*;искусство;P3;26;K
-1;*;история искусств;P3;26;K
-1;*;культурология;P3;26;K
-1;*;филология;P3;26;K
-1;*;информатика;P3;9 21 14 15 31 12 16 17 18;M
-1;*;робототехника;P3;9 21 14 15 31 12 16 17 18;M
-1;*;математика;P3;9 21 14 15 31 12 16 17 18;M
-1;*;экономика;P3;9 21 14 15 31 12 16 17 18;M
-1;*;механика и математическое моделирование;P3;9 21 14 15 31 12 16 17 18;M
-1;*;компьютерное моделирование и графика;P3;9 21 14 15 31 12 16 17 18;M
-1;*;системы связи и дистанционного зондирования Земли;P3;9 21 14 15 31 12 16 17 18;M
-1;*;летающая робототехника;P3;9 21 14 15 31 12 16 17 18;M
