#info;ЛЭТИ;Федеральное государственное автономное образовательное учреждение высшего образования Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина) ;;9;9
1;01.03.02;Прикладная математика и информатика;MRFI;;
0;*;новые материалы;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;I
0;*;передовые производственные технологии;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;FI
0;*;предпрофессиональная;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;MFI
0;*;программирование;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;I
0;*;программная инженерия финансовых технологий;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;MI
0;*;разработка компьютерных игр;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;MI
0;*;робототехника;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;MFI
0;*;спутниковые системы;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;IF
0;*;техника и технологии;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;MF
0;*;технологии беспроводной связи;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;MI
0;*;технологии виртуальной реальности;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;MI
0;*;технологическое предпринимательство;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;MI
0;*;умный город;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;I
0;*;финансовая безопасность;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;FI
0;*;финансовая грамотность;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;M
0;*;финансовый инжиниринг;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;MI
0;*;цифровые технологии в архитектуре;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;IF
0;*;экономика;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;M
0;*;ядерные технологии;P3;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21;FI
0;*;математика;P3;17 23;M
0;*;физика;P3;17 23;F
0;*;химия;P3;17 23;C
0;*;информатика;P3;17 23;I
0;*;автоматизация бизнес-процессов;P3;17 23;MI
0;*;автономные транспортные системы;P3;17 23;FI
0;*;анализ данных;P3;17 23;MI
