#name;#name;РСОШ 2024-25
Объединенная межвузовская олимпиада школьников;математика;2
Объединенная межвузовская олимпиада школьников;физика;2
Океан знаний;обществознание;3
Океан знаний;русский язык;2
Олимпиада Курчатов;математика;2
Олимпиада Курчатов;физика;2
Олимпиада МГИМО МИД России для школьников;гуманитарные и социальные науки;2
Олимпиада по архитектуре СПбГАСУ;рисунок и архитектурная композиция;2
Олимпиада по комплексу предметов «Культура и искусство»;академический рисунок, живопись, композиция, история искусства и культуры;1
Олимпиада по комплексу предметов «Культура и искусство»;технический рисунок и декоративная композиция;1
Олимпиада РГГУ для школьников;иностранный язык;2
Олимпиада РГГУ для школьников;история;2
Олимпиада РГГУ для школьников;литература;1
Олимпиада РГГУ для школьников;обществознание;3
Олимпиада РГГУ для школьников;русский язык;2
Олимпиада школьников «Гранит науки»;информатика;3
Олимпиада школьников «Ломоносов»;генетика;3
Олимпиада школьников «Ломоносов»;экология;2
Олимпиада школьников «Ломоносов»;биология;1
Олимпиада школьников «Ломоносов»;география;1
Олимпиада школьников «Ломоносов»;иностранный язык;1
Олимпиада школьников «Ломоносов»;информатика;2
Олимпиада школьников «Ломоносов»;история;1
Олимпиада школьников «Ломоносов»;международные отношения и глобалистика;1
Олимпиада школьников «Ломоносов»;политология;2
Олимпиада школьников «Ломоносов»;основы российской государственности;1
Олимпиада школьников «Ломоносов»;литература;1
Олимпиада школьников «Ломоносов»;математика;1
Олимпиада школьников «Ломоносов»;космонавтика;2
Олимпиада школьников «Ломоносов»;механика и математическое моделирование;2
Олимпиада школьников «Ломоносов»;робототехника;2
Олимпиада школьников «Ломоносов»;высокие технологии;1
Олимпиада школьников «Ломоносов»;геология;1
Олимпиада школьников «Ломоносов»;обществознание;1
Олимпиада школьников «Ломоносов»;психология;1
Олимпиада школьников «Ломоносов»;русский язык;1
Олимпиада школьников «Ломоносов»;журналистика;1
Олимпиада школьников «Ломоносов»;физика;1
Олимпиада школьников «Ломоносов»;религиоведение;2
Олимпиада школьников «Ломоносов»;философия;1
Олимпиада школьников «Ломоносов»;фундаментальная медицина;3
Олимпиада школьников «Ломоносов»;химия;1
Олимпиада школьников «Ломоносов»;инженерные науки;2
Олимпиада школьников «Ломоносов»;право;1
Олимпиада школьников «Надежда энергетики»;математика;3
Олимпиада школьников «Надежда энергетики»;физика;3
Олимпиада школьников «Покори Воробьевы горы!»;география;2
Олимпиада школьников «Покори Воробьевы горы!»;иностранный язык;1
Олимпиада школьников «Покори Воробьевы горы!»;история;1
Олимпиада школьников «Покори Воробьевы горы!»;литература;1
Олимпиада школьников «Покори Воробьевы горы!»;математика;1
Олимпиада школьников «Покори Воробьевы горы!»;обществознание;1
Олимпиада школьников «Покори Воробьевы горы!»;журналистика;1
Олимпиада школьников «Покори Воробьевы горы!»;физика;1
Олимпиада школьников «Робофест»;физика;2
Олимпиада школьников «Физтех»;биология;2
